Event,Probability,Word Order,Eta1,Eta2,I1,I2,Deviation Score
mallory eat apple,0.04,VOS,3.592949440895038325674491665996100580,1.88431352779979892171142357107099489644722964569637419288858132193060,1.018352029636194744757891163588257420,1.70863591309523940396306809492510568355277035430362580711141867806940,0.168742533053620283935316447104380450
mallory eat apple,0.04,OVS,1.88431352779979892171142357107099489644722964569637419288858132193060,1.88431352779979892171142357107099489644722964569637419288858132193060,2.72698794273143414872095925851336310355277035430362580711141867806940,0E-68,0.500000000000000000000000000000000025
mallory eat apple,0.04,OSV,1.88431352779979892171142357107099489644722964569637419288858132193060,0.0,2.72698794273143414872095925851336310355277035430362580711141867806940,1.88431352779979892171142357107099489644722964569637419288858132193060,0.500000000000000000000000000000000025
mallory eat bread,0.04,SVO,2.095461844238321764490796381925223500,1.72192809488736224293643881328390140,2.515839626292911305941586447659134500,0.373533749350959521554357568641322100,0.3784940373976695787919374349151230100
mallory eat bread,0.04,SOV,2.095461844238321764490796381925223500,0.0,2.515839626292911305941586447659134500,2.095461844238321764490796381925223500,0.500000000000000000000000000000000025
mallory eat bread,0.04,VSO,3.592949440895038325674491665996100580,1.72192809488736224293643881328390140,1.018352029636194744757891163588257420,1.871021346007676082738052852712199180,0.168742533053620283935316447104380375
mallory eat bread,0.04,VOS,3.592949440895038325674491665996100580,0.721928094887362271790339631063170080,1.018352029636194744757891163588257420,2.871021346007676053884152034932930500,0.433908148606773086891677441073933325
mallory eat bread,0.04,OVS,0.721928094887362271790339631063170080,0.721928094887362271790339631063170080,3.889373375643870798642043198521187920,0E-36,0.765165615553152802956360993969552975
mallory eat bread,0.04,OSV,0.721928094887362271790339631063170080,0.0,3.889373375643870798642043198521187920,0.721928094887362271790339631063170080,0.765165615553152802956360993969552975
mallory eat cake,0.01,SVO,2.095461844238321764490796381925223500,1.72192809488736224293643881328390140,2.515839626292911305941586447659134500,0.373533749350959521554357568641322100,0.3784940373976695787919374349151230100
mallory eat cake,0.01,SOV,2.095461844238321764490796381925223500,0.0,2.515839626292911305941586447659134500,2.095461844238321764490796381925223500,0.500000000000000000000000000000000025
mallory eat cake,0.01,VSO,3.592949440895038325674491665996100580,1.72192809488736224293643881328390140,1.018352029636194744757891163588257420,1.871021346007676082738052852712199180,0.168742533053620283935316447104380375
mallory eat cake,0.01,VOS,3.592949440895038325674491665996100580,1.75271527897970491565636559224484471361736099091839732325232966440440,1.018352029636194744757891163588257420,1.84023416191533341001812607375125586638263900908160267674767033559560,0.168742533053620283935316447104380375
mallory eat cake,0.01,OVS,1.75271527897970491565636559224484471361736099091839732325232966440440,1.75271527897970491565636559224484471361736099091839732325232966440440,2.85858619155152815477601723733951328638263900908160267674767033559560,0E-68,0.500000000000000000000000000000000025
mallory eat cake,0.01,OSV,1.75271527897970491565636559224484471361736099091839732325232966440440,0.0,2.85858619155152815477601723733951328638263900908160267674767033559560,1.75271527897970491565636559224484471361736099091839732325232966440440,0.500000000000000000000000000000000025
mallory eat rice,0.01,SVO,2.095461844238321764490796381925223500,1.72192809488736224293643881328390140,2.515839626292911305941586447659134500,0.373533749350959521554357568641322100,0.3784940373976695787919374349151230100
mallory eat rice,0.01,SOV,2.095461844238321764490796381925223500,0.0,2.515839626292911305941586447659134500,2.095461844238321764490796381925223500,0.500000000000000000000000000000000025
mallory eat rice,0.01,VSO,3.592949440895038325674491665996100580,1.72192809488736224293643881328390140,1.018352029636194744757891163588257420,1.871021346007676082738052852712199180,0.168742533053620283935316447104380375
mallory eat rice,0.01,VOS,3.592949440895038325674491665996100580,1.993961544431619684903672317075026673999641669711445024298368697923840,1.018352029636194744757891163588257420,1.598987896463418640770819348921073906000358330288554975701631302076160,0.168742533053620283935316447104380450
mallory eat rice,0.01,OVS,1.993961544431619684903672317075026673999641669711445024298368697923840,1.993961544431619684903672317075026673999641669711445024298368697923840,2.617339926099613385528710512509331326000358330288554975701631302076160,0E-69,0.500000000000000000000000000000000025
mallory eat rice,0.01,OSV,1.993961544431619684903672317075026673999641669711445024298368697923840,0.0,2.617339926099613385528710512509331326000358330288554975701631302076160,1.993961544431619684903672317075026673999641669711445024298368697923840,0.500000000000000000000000000000000025
mallory drink cola,0.01,SVO,2.095461844238321764490796381925223500,0.468995593589281173514940761227398240,2.515839626292911305941586447659134500,1.626466250649040590975855620697825260,0.347441466388690127856374326074839625
mallory drink cola,0.01,SOV,2.095461844238321764490796381925223500,0.0,2.515839626292911305941586447659134500,2.095461844238321764490796381925223500,0.500000000000000000000000000000000025
mallory drink cola,0.01,VSO,3.629653500167427662264599658942491980,0.468995593589281173514940761227398240,0.981647970363805408167783170641866020,3.160657906578146488749658897715093740,0.528123381254673551524976476369802550
mallory drink cola,0.01,VOS,3.629653500167427662264599658942491980,2.125814583693911513168777434712478256601499971153745613164471889668400,0.981647970363805408167783170641866020,1.503838916473516149095822224230013723398500028846254386835528110331600,0.191501498203612093410554751724354500
mallory drink cola,0.01,OVS,2.125814583693911513168777434712478256601499971153745613164471889668400,2.125814583693911513168777434712478256601499971153745613164471889668400,2.485486886837321557263605394871879743398500028846254386835528110331600,0E-69,0.500000000000000000000000000000000025
mallory drink cola,0.01,OSV,2.125814583693911513168777434712478256601499971153745613164471889668400,0.0,2.485486886837321557263605394871879743398500028846254386835528110331600,2.125814583693911513168777434712478256601499971153745613164471889668400,0.500000000000000000000000000000000025
mallory drink juice,0.09,SVO,2.095461844238321764490796381925223500,0.468995593589281173514940761227398240,2.515839626292911305941586447659134500,1.626466250649040590975855620697825260,0.347441466388690127856374326074839625
mallory drink juice,0.09,SOV,2.095461844238321764490796381925223500,0.0,2.515839626292911305941586447659134500,2.095461844238321764490796381925223500,0.500000000000000000000000000000000025
mallory drink juice,0.09,VSO,3.629653500167427662264599658942491980,0.468995593589281173514940761227398240,0.981647970363805408167783170641866020,3.160657906578146488749658897715093740,0.528123381254673551524976476369802550
mallory drink juice,0.09,VOS,3.629653500167427662264599658942491980,1.287054028118727030107589787075663707953527847930520994303388845480840,0.981647970363805408167783170641866020,2.342599472048700632157009871866828272046472152069479005696611154519160,0.262018972415664090118881847390381650
mallory drink juice,0.09,OVS,1.287054028118727030107589787075663707953527847930520994303388845480840,1.287054028118727030107589787075663707953527847930520994303388845480840,3.324247442412506040324793042508694292046472152069479005696611154519160,0E-69,0.581337057549680666450279697095418675
mallory drink juice,0.09,OSV,1.287054028118727030107589787075663707953527847930520994303388845480840,0.0,3.324247442412506040324793042508694292046472152069479005696611154519160,1.287054028118727030107589787075663707953527847930520994303388845480840,0.581337057549680666450279697095418675
trent eat apple,0.02,SVO,2.563865121950854066995832593879698550,1.156779649447039512093928776120406930,2.047436348580379003436550235704659450,1.407085472503814554901903817759291620,0.166006016413575338011678896190590900
trent eat apple,0.02,SOV,2.563865121950854066995832593879698550,0.0,2.047436348580379003436550235704659450,2.563865121950854066995832593879698550,0.500000000000000000000000000000000025
